date	Tree	Grass	"weed, garden"	ragweed	Weeds	cattail_sedge	grass_harm	weed_harm	unknown	Spore
7/1/2000	1.5	24	0	0	0	17	7	17	2	1399.5
7/2/2000	1.5	24	0	0	0	17	7	17	2	1399.5
7/3/2000	0	0	0	0	0		0	0	0	0
7/4/2000	0	0	0	0	0		0	0	0	0
7/5/2000	0	26	0	0	0	1	25	1	10	3626
7/6/2000	0	26	0	0	0	7	19	7	6	4230
7/7/2000	0	178	0	0	0	175	3	175	23	7791
7/8/2000	0	99	0	0	0	94.5	4.5	94.5	13.5	9062
7/9/2000	0	99	0	0	0	94.5	4.5	94.5	13.5	9062
7/10/2000	0	20	0	0	0	14	6	14	4	10333
7/11/2000	0	42	0	0	0	35	7	35	9	13505
7/12/2000	0	26	0	0	0	18	8	18	8	12783
7/13/2000	0	47	0	0	0	43	4	43	9	11917
7/14/2000	0	38	0	0	0	33	5	33	24	9920
7/15/2000	0	51.5	0	1	1	46.5	5	47.5	28	8632
7/16/2000	0	51.5	0	1	1	46.5	5	47.5	28	8632
7/17/2000	0	65	0	2	2	60	5	62	32	7344
7/18/2000	0	54	0	0	0	51	3	51	15	4259
7/19/2000	0	24	0	0	0	23	1	23	0	8962
7/20/2000	0	3	0	0	0	1	2	1	18	7349
7/21/2000	0	21	0.1	0	0.1	19	2	19.1	27	4541
7/22/2000										
7/23/2000										
7/24/2000										
7/25/2000										
7/26/2000										
7/27/2000										
7/28/2000										
7/29/2000										
7/30/2000										
7/31/2000	0	1	2	1	3	1	0	4	106	5284
8/1/2000	0	0	1	2	3		0	3	184	8491
8/2/2000	0	3	3	4	7	3	0	10	64	7251
8/3/2000	0	0	1	14	15		0	15	118	4265
8/4/2000	0	0	0	0	0		0	0	0	0
8/5/2000	0	0	12	7.5	19.5	0	0	19.5	19	3708.5
8/6/2000	0	0	12	7.5	19.5	0	0	19.5	19	3708.5
8/7/2000	0	0	24	15	39		0	39	38	7417
8/8/2000	0	0	4	7	11		0	11	14	10862
8/9/2000	0	0	31	77	108		0	108	136	8099
8/10/2000	0	0	26	92	118		0	118	149	6559
8/11/2000	0	0	19	17	36		0	36	138	8341
8/12/2000	0	0	10.5	26.5	37	0	0	37	130	8054
8/13/2000	0	0	10.5	26.5	37	0	0	37	130	8054
8/14/2000	0	0	2	36	38		0	38	122	7767
8/15/2000	0	0	20	92	112		0	112	99	9906
8/16/2000	0	0	6	40	46		0	46	38	7185
8/17/2000	0	0	0	24	24		0	24	4	2837
8/18/2000	0	0	0	0	0		0	0	0	0
8/19/2000	0	0	7.5	45.5	53	0	0	53	37	3570.5
8/20/2000	0	0	7.5	45.5	53	0	0	53	37	3570.5
8/21/2000	0	0	15	91	106		0	106	74	7141
8/22/2000	0	0	17	101	118		0	118	21	3413
8/23/2000	0	0	4	20	24		0	24	29	5904
8/24/2000	0	0	12	62	74		0	74	31	7973
8/25/2000	0	0	15	56	71		0	71	57	9212
8/26/2000	0	0	11.5	79.5	91	0	0	91	54	9481
8/27/2000	0	0	11.5	79.5	91	0	0	91	54	9481
8/28/2000	0	0	8	103	111		0	111	51	9750
8/29/2000	0	0	27	115	142		0	142	36	9308
8/30/2000	0	0	11	80	91		0	91	19	5197
8/31/2000	0	0	24	300	324		0	324	31	7391
9/1/2000	0	0	23	96	119		0	119	19	5174
9/2/2000	0	0	11.5	48	59.5	0	0	59.5	9.5	2587
9/3/2000	0	0	11.5	48	59.5	0	0	59.5	9.5	2587
9/4/2000	0	0	0	0	0		0	0	0	0
9/5/2000	0	0	4	19	23		0	23	5	5977
9/6/2000	0	0	4	39	43		0	43	7	4186
9/7/2000	0	0	9	52	61		0	61	9	3957
9/8/2000	0	0	20	121	141		0	141	9	5482
9/9/2000	0	0	26	104.5	130.5	0	0	130.5	8	7501
9/10/2000	0	0	26	104.5	130.5	0	0	130.5	8	7501
9/11/2000	0	0	32	88	120		0	120	7	9520
9/12/2000	0	0	12	18	30		0	30	5	4018
9/13/2000	0	0	10	15	25		0	25	2	4422
9/14/2000	0	0	13	11	24		0	24	3	1850
9/15/2000	0	0	2	6	8		0	8	1	2294
9/16/2000	0	0	4.5	10	14.5	0	0	14.5	3.5	2436.5
9/17/2000	0	0	4.5	10	14.5	0	0	14.5	3.5	2436.5
9/18/2000	0	0	7	14	21		0	21	6	2579
9/19/2000	0	0	27	62	89		0	89	24	3222
9/20/2000	0	0	28	55	83		0	83	6	3199
9/21/2000	0	0	9	10	19		0	19	1	1909
9/22/2000	0	0	3	17	20		0	20	4	1974
9/23/2000	0	0	1.5	8.5	10	0	0	10	2	2158.5
9/24/2000	0	0	1.5	8.5	10	0	0	10	2	2158.5
9/25/2000	0	0	0	0	0		0	0	0	2343
9/26/2000	0	0	0	1	1		0	1	0	1577
9/27/2000	0	0	0	3	3		0	3	0.1	1678
9/28/2000	0	0	0	2	2		0	2	0	1953
9/29/2000	0	0	2	2	4		0	4	0	2165
9/30/2000	0	0	2.5	15.5	18	0	0	18	0.5	3131
10/1/2000	0	0	2.5	15.5	18	0	0	18	0.5	3131
10/2/2000	0	0	3	29	32		0	32	1	4097
10/3/2000	0	0	1	12	13		0	13	2	3988
10/4/2000	0	0	1	3	4		0	4	0	2033
10/5/2000	0	0	1	4	5		0	5	0	2049
10/6/2000	0	0	0	1	1		0	1	0	1100
10/7/2000										
10/8/2000										
10/9/2000										
10/10/2000										
10/11/2000										
10/12/2000										
10/13/2000										
10/14/2000										
10/15/2000										
10/16/2000	0	0	0	0	0		0	0	0	1031
10/17/2000	0	0	0	0	0		0	0	0	935
10/18/2000	0	0	0	0	0		0	0	0	1239
10/19/2000	0	0	0	0	0		0	0	0	0
10/20/2000	0	0	0	0	0		0	0	0	0
10/21/2000	0	0	0	0	0	0	0	0	0	1319.5
10/22/2000	0	0	0	0	0	0	0	0	0	1319.5
10/23/2000	0	0	0	0	0		0	0	0	2639
10/24/2000	0	0	0	0	0		0	0	0	1827
10/25/2000	0	0	0	0	0		0	0	0	2984
10/26/2000	0	0	0	0	0		0	0	0	11997
10/27/2000	0	0	0	0	0		0	0	0	11056
10/28/2000	0	0	0	0	0	0	0	0	0	9740
10/29/2000	0	0	0	0	0	0	0	0	0	9740
10/30/2000	0	0	0	0	0		0	0	0	8424
10/31/2000	0	0	0	0	0		0	0	0	7185
11/1/2000	0	0	0	0	0		0	0	0	7421
11/2/2000	0	0	0	0	0		0	0	0	5306
11/3/2000	0	0	0	0	0		0	0	0	4981
										
										
										
4/2/2001	0	0	0	0	0		0	0	0	0
4/3/2001	0	0	0	0	0		0	0	0	0
4/4/2001	0	0	0	0	0		0	0	0	0
4/5/2001	0	0	0	0	0		0	0	0	0
4/6/2001	6	0	0	0	0		0	0	0	0
4/7/2001	4.5	0	0	0	0	0	0	0	0	0
4/8/2001	4.5	0	0	0	0	0	0	0	0	0
4/9/2001	3	0	0	0	0		0	0	0	0
4/10/2001	19	0	0	0	0		0	0	0	0
4/11/2001	105	0	0	0	0		0	0	0	24
4/12/2001	36	0	0	0	0		0	0	0	0
4/13/2001	2	0	0	0	0		0	0	0	11
4/14/2001	4.5	0	0	0	0	0	0	0	0	5.5
4/15/2001	4.5	0	0	0	0	0	0	0	0	5.5
4/16/2001	7	0	0	0	0		0	0	0	0
4/17/2001	0	0	0	0	0		0	0	0	0
4/18/2001	18	0	0	0	0		0	0	0	16
4/19/2001	4.1	0	0	0	0		0	0	0	0
4/20/2001	40	0	0	0	0		0	0	0	125
4/21/2001	20	0	0	0	0	0	0	0	0	62.5
4/22/2001	20	0	0	0	0	0	0	0	0	62.5
4/23/2001	0	0	0	0	0		0	0	0	0
4/24/2001	0	0	0	0	0		0	0	0	0
4/25/2001	126	0	0	0	0		0	0	0	317
4/26/2001	130	0	0	0	0		0	0	0	272
4/27/2001	773	0	0	0	0		0	0	0	568
4/28/2001	907.5	0	0	0	0	0	0	0	0	512
4/29/2001	907.5	0	0	0	0	0	0	0	0	512
4/30/2001	1042	0	0	0	0		0	0	0	456
5/1/2001	592	0	0	0	0		0	0	176	544
5/2/2001	0	0	0	0	0		0	0	0	0
5/3/2001	221	0	0	0	0		0	0	62	198
5/4/2001	339	0	0	0	0		0	0	68	341
5/5/2001	183	0	0	0	0	0	0	0	36	752.5
5/6/2001	183	0	0	0	0	0	0	0	36	752.5
5/7/2001	27	0	0	0	0		0	0	4	1164
5/8/2001	97	0	0	0	0		0	0	4	2461
5/9/2001	93	2	0	0	0		2	0	2	662
5/10/2001	93	3	0	0	0		3	0	10	943
5/11/2001	382	3	0	0	0		3	0	7	1235
5/12/2001	369.5	6.5	0	0	0	0	6.5	0	12.5	1115.5
5/13/2001	369.5	6.5	0	0	0	0	6.5	0	12.5	1115.5
5/14/2001	357	10	0	0	0		10	0	18	996
5/15/2001	304	6	0	0	0		6	0	17	1710
5/16/2001	522	8	0	0	0		8	0	74	1216
5/17/2001	144	2	0	0	0		2	0	22	1392
5/18/2001	59	8	0	0	0	2	6	2	13	494
5/19/2001	78	6.5	0	0	0	1.5	5	1.5	15	807
5/20/2001	78	6.5	0	0	0	1.5	5	1.5	15	807
5/21/2001	97	5	0	0	0	1	4	1	17	1120
5/22/2001	33	6	0	0	0	1	5	1	11	3280
5/23/2001	8	0.1	0	0	0		0.1	0	4	1379
5/24/2001	27	1	0	0	0		1	0	0	899
5/25/2001	41	1	0	0	0		1	0	1	2372
5/26/2001	20.5	0.5	0	0	0	0	0.5	0	0.5	1186
5/27/2001	20.5	0.5	0	0	0	0	0.5	0	0.5	1186
5/28/2001	0	0	0	0	0		0	0	0	0
5/29/2001	98	3	0	0	0		3	0	0	5262
5/30/2001	0	0	0	0	0		0	0	0	0
5/31/2001	0	0	0	0	0		0	0	0	0
6/1/2001	70	7	0	0	0		7	0	7	831
6/2/2001	46	8.5	0	0	0	0.5	8	0.5	4.5	1786
6/3/2001	46	8.5	0	0	0	0.5	8	0.5	4.5	1786
6/4/2001	22	10	0	0	0	1	9	1	2	2741
6/5/2001	28	11	0	0	0		11	0	2	1430
6/6/2001	7	4	0	0	0		4	0	2	1318
6/7/2001	3	0	0	0	0		0	0	1	1946
6/8/2001	10	14	0	0	0		14	0	2	2336
6/9/2001	5	9.05	0	0	0	0	9.05	0	3	3143
6/10/2001	5	9.05	0	0	0	0	9.05	0	3	3143
6/11/2001	0	4.1	0	0	0		4.1	0	4	3950
6/12/2001	2	5	0	0	0		5	0	5	5143
6/13/2001	2	7	0	0	0		7	0	2	8211
6/14/2001	0	6	0	0	0		6	0	2	2831
6/15/2001	0	18	2	0	2		18	2	4	2617
6/16/2001	0	20	1	0	1	1	19	2	3.5	3763
6/17/2001	0	20	1	0	1	1	19	2	3.5	3763
6/18/2001	0	22	0	0	0	2	20	2	3	4909
6/19/2001	0	11	0	0	0		11	0	2	2793
6/20/2001	2	48	0	0	0		48	0	5	2637
6/21/2001	0	25	0	0	0		25	0	4	2162
6/22/2001	0	47	0	0	0	1	46	1	7	2240
6/23/2001	0	147.5	0.5	0	0.5	2.5	145	3	17	2123
6/24/2001	0	147.5	0.5	0	0.5	2.5	145	3	17	2123
6/25/2001	0	248	1	0	1	4	244	5	27	2006
6/26/2001	0	203	2	0	2	6	197	8	32	2243
6/27/2001	0	137	1	0	1	5	132	6	15	1895
6/28/2001	0	20	1	0	1	1	19	2	6	1297
6/29/2001	0	34	0	0	0	1	33	1	4	1015
6/30/2001	0	56.5	0	0	0	4	52.5	4	8	1683
7/1/2001	0	56.5	0	0	0	4	52.5	4	8	1683
7/2/2001	0	79	0	0	0	7	72	7	12	2351
7/3/2001	0	12	0	0	0	1	11	1	3	950
7/4/2001	0	5	0	0	0		5	0	7	2218
7/5/2001	0	61	0	0	0	4	57	4	9	4653
7/6/2001	0	21	0	0	0	2	19	2	7	1871
7/7/2001	0	24.5	0	0	0	2.5	22	2.5	10	2645.5
7/8/2001	0	24.5	0	0	0	2.5	22	2.5	10	2645.5
7/9/2001	0	28	0	0	0	3	25	3	13	3420
7/10/2001	0	18	0	0	0	2	16	2	13	2779
7/11/2001	0	56	1	0	1	4	52	5	11	2389
7/12/2001	0	67	0	0	0	5	62	5	16	1030
7/13/2001	0	44	1	0	1	3	41	4	6	103
7/14/2001	0	32	1	0	1	3	29	4	5	1355
7/15/2001	0	32	1	0	1	3	29	4	5	1355
7/16/2001	0	20	1	0	1	3	17	4	4	2607
7/17/2001	0	14	2	0	2	1	13	3	4	2372
7/18/2001	0	14	1	0	1	1	13	2	6	4289
7/19/2001	0	6	1	0	1	2	4	3	3	4333
7/20/2001	0	2	0	0	0		2	0	3	3457
7/21/2001	0	2	0	0	0	0	2	0	2.5	3843.5
7/22/2001	0	2	0	0	0	0	2	0	2.5	3843.5
7/23/2001	0	2	0	0	0		2	0	2	4230
7/24/2001	0	2	0	0	0		2	0	4	3900
7/25/2001	0	6	0	0	0		6	0	7	0
7/26/2001	0	2	0	0	0		2	0	6	9417
7/27/2001	0	2	0	0	0		2	0	5	3935
7/28/2001	0	1	0	0	0	0	1	0	5	6356.5
7/29/2001	0	1	0	0	0	0	1	0	5	6356.5
7/30/2001	0	0	0	0	0		0	0	5	8778
7/31/2001	0	2	2	0	2		2	2	8	8462
8/1/2001	0	0	5	2	7		0	7	12	0
8/2/2001	0	2	0	0	0		2	0	3	5012
8/3/2001	0	0	5	3	8		0	8	45	9088
8/4/2001	0	0	6.5	5.5	12	0	0	12	43	7599
8/5/2001	0	0	6.5	5.5	12	0	0	12	43	7599
8/6/2001	0	0	8	8	16		0	16	41	6110
8/7/2001	0	0	6	4	10		0	10	33	6038
8/8/2001	0	0	6	11	17		0	17	35	5418
8/9/2001	0	0	10	5	15		0	15	33	4554
8/10/2001	0	0	17	113	130		0	130	42	4747
8/11/2001	0	0	11	65.5	76.5	0	0	76.5	38	4330
8/12/2001	0	0	11	65.5	76.5	0	0	76.5	38	4330
8/13/2001	0	0	5	18	23		0	23	34	3913
8/14/2001	0	0	3	10	13		0	13	22	2734
8/15/2001	0	1	9	69	78		1	78	28	1489
8/16/2001	0	0	10	29	39		0	39	20	3766
8/17/2001	0	0	6	104	110		0	110	17	5940
8/18/2001	0	0	3.5	63.5	67	0	0	67	15	5307
8/19/2001	0	0	3.5	63.5	67	0	0	67	15	5307
8/20/2001	0	0	1	23	24		0	24	13	4674
8/21/2001	0	0	3	30	33		0	33	25	5852
8/22/2001	0	0	11	59	70		0	70	37	5653
8/23/2001	0	0	8	39	47		0	47	32	7327
8/24/2001	0	0	6	67	73		0	73	39	5367
8/25/2001	0	0	6	102	108	0	0	108	27	3961.5
8/26/2001	0	0	6	102	108	0	0	108	27	3961.5
8/27/2001	0	0	6	137	143		0	143	15	2556
8/28/2001	0	0	22	147	169		0	169	22	8344
8/29/2001	0	0	4	85	89		0	89	7	0
8/30/2001	0	0	9	94	103		0	103	4	3077
8/31/2001	0	0	24	153	177		0	177	15	6508
9/1/2001	0	0	12	76.5	88.5	0	0	88.5	7.5	3254
9/2/2001	0	0	12	76.5	88.5	0	0	88.5	7.5	3254
9/3/2001	0	0	0	0	0		0	0	0	0
9/4/2001	0	0	0	0	0		0	0	0	0
9/5/2001	0	0	0	0	0		0	0	0	0
9/6/2001	0	0	2	27	29		0	29	4	824
9/7/2001	0	0	0	0	0		0	0	0	0
9/8/2001	0	0	1.5	12.5	14	0	0	14	2	3136.5
9/9/2001	0	0	1.5	12.5	14	0	0	14	2	3136.5
9/10/2001	0	0	3	25	28		0	28	4	6273
9/11/2001	0	0	3	27	30		0	30	2	5978
9/12/2001	0	0	7	33	40		0	40	4	0
9/13/2001	0	0	47	62	109		0	109	8	0
9/14/2001	0	0	3	10	13		0	13	1	2793
9/15/2001	0	0	2.5	9.5	12	0	0	12	1.5	3611
9/16/2001	0	0	2.5	9.5	12	0	0	12	1.5	3611
9/17/2001	0	0	2	9	11		0	11	2	4429
9/18/2001	0	0	3	11	14		0	14	1	5328
9/19/2001	0	0	0	6	6		0	6	1	3383
9/20/2001	0	0	1	2	3		0	3	0	2741
9/21/2001	0	0	0	0	0		0	0	0	890
9/22/2001	0	0	0	0	0	0	0	0	0	1812
9/23/2001	0	0	0	0	0	0	0	0	0	1812
9/24/2001	0	0	0	0	0		0	0	0	2734
9/25/2001	0	0	0	0	0		0	0	0	8720
9/26/2001	0	0	0	0	0		0	0	0	1805
9/27/2001	0	0	0	0	0		0	0	0	2284
9/28/2001	0	0	0	0	0		0	0	0	2100
9/29/2001	0	0	0.5	0.5	1	0	0	1	0	2225.5
9/30/2001	0	0	0.5	0.5	1	0	0	1	0	2225.5
10/1/2001	0	0	1	1	2		0	2	0	2351
10/2/2001	0	0	1	1	2		0	2	0	1586
10/3/2001	0	0	1	1	2		0	2	0	3687
10/4/2001	0	0	1	2	3		0	3	0	4370
10/5/2001	0	0	0	0	0		0	0	0	2575
10/6/2001	0	0	0	0	0	0	0	0	0	1841
10/7/2001	0	0	0	0	0	0	0	0	0	1841
10/8/2001	0	0	0	0	0		0	0	0	1107
10/9/2001	0	0	0	0	0		0	0	0	552
10/10/2001	0	0	0	0	0		0	0	0	3042
10/11/2001	0	0	0	0	0		0	0	0	2956
10/12/2001	0	0	0	0	0		0	0	0	3102
										
										
										
										
3/18/2002	0	0			0		0	0	0	0
3/19/2002	0	0			0		0	0	0	0
3/20/2002	0.9	0			0.315043318		0	0.315043318	0	L
3/21/2002	0	0			0.326175591		0	0.326175591	0	L
3/22/2002	0.3	0			0.320512821		0	0.320512821	0	L
3/23/2002	0.255422216	0	0	0	0.265678626	0	0	0.265678626	0	#VALUE!
3/24/2002	0.255422216	0	0	0	0.265678626	0	0	0.265678626	0	#VALUE!
3/25/2002	0.210844432	0			0.210844432		0	0.210844432	0	L
3/26/2002	0	0			0		0	0	0	L
3/27/2002	0.314828419	0			0		0	0	0	L
3/28/2002	3.846153846	0			0		0	0	0	L
3/29/2002	0	0			0		0	0	0	L
3/30/2002	0.751895403	0	0	0	0	0	0	0	0	#VALUE!
3/31/2002	0.751895403	0	0	0	0	0	0	0	0	#VALUE!
4/1/2002	1.503790806	0			0		0	0	0	L
4/2/2002	0.633546275	0			0		0	0	0	L
4/3/2002	0.328731098	0			0		0	0	0	L
4/4/2002	0	0			0		0	0	0	L
4/5/2002	0	0			0		0	0	0	L
4/6/2002	0.848611283	0	0	0	0.159114616	0	0	0.159114616	0	#VALUE!
4/7/2002	0.848611283	0	0	0	0.159114616	0	0	0.159114616	0	#VALUE!
4/8/2002	1.697222566	0			0.318229231		0	0.318229231	0	L
4/9/2002	68.30378923	0			0.325256139		0	0.325256139	0	M
4/10/2002	50.63291139	0			0		0	0	0	M
4/11/2002	11.6354234	0			0		0	0	0	L
4/12/2002	1.265355618	0			0		0	0	0	L
4/13/2002	32.37101821	0	0	0	0	0	0	0	0	#VALUE!
4/14/2002	32.37101821	0	0	0	0	0	0	0	0	#VALUE!
4/15/2002	63.4766808	0			0		0	0	0	L
4/16/2002	601.2517385	0			0		0	0	0	L
4/17/2002	65.44262971	1.943840486			0		1.943840486	0	0	L
4/18/2002	744.3429141	0			0		0	0	0	L
4/19/2002	526.9999232	0			0		0	0	0	M
4/20/2002	311.1405713	0	0	0	0	0	0	0	0	#VALUE!
4/21/2002	311.1405713	0	0	0	0	0	0	0	0	#VALUE!
4/22/2002	95.28121936	0			0		0	0	0	L
4/23/2002	128.9397668	0			0		0	0	0	L
4/24/2002	457.7416027	0			0		0	0	0	M
4/25/2002	207.4397652	0			0		0	0	0	L
4/26/2002	21.72642553	0			0		0	0	0	L
4/27/2002	41.48253735	0	0	0	0	0	0	0	0	#VALUE!
4/28/2002	41.48253735	0	0	0	0	0	0	0	0	#VALUE!
4/29/2002	61.23864917	0			0		0	0	0	L
4/30/2002	176.6589875	0			0		0	0	0	L
5/1/2002	102.5183592	0.5			0		0.5	0	0	L
5/2/2002	239.6228491	0			0		0	0	0	L
5/3/2002	76.0721847	0			0		0	0	0	L
5/4/2002	48.92805819	0.033721256	0	0	0.067442513	0	0.033721256	0.067442513	0	#VALUE!
5/5/2002	48.92805819	0.033721256	0	0	0.067442513	0	0.033721256	0.067442513	0	#VALUE!
5/6/2002	21.78393169	0.067442513			0.134885026		0.067442513	0.134885026	0	L
5/7/2002	46.86554478	0			0.249284813		0	0.249284813	0	L
5/8/2002	18.24416122	0			0		0	0	0	L
5/9/2002	36.89763028	0.31808302			0		0.31808302	0	0	L
5/10/2002	89.87685911	0			0.319846474		0	0.319846474	0	L
5/11/2002	59.56578038	0	0	0	0.159923237	0	0	0.159923237	0	#VALUE!
5/12/2002	59.56578038	0	0	0	0.159923237	0	0	0.159923237	0	#VALUE!
5/13/2002	29.25470165	0			0		0	0	0	L
5/14/2002	44.66312812	5.934261779			0		5.934261779	0	0	M
5/15/2002	238.7820513	0.320512821			0.320512821		0.320512821	0.320512821	0	M
5/16/2002	109.8147909	2.028910687			0		2.028910687	0	0	H
5/17/2002	90.98179522	0			0		0	0	0	M
5/18/2002	80.13700331	0	0	0	0.204201016	0	0	0.204201016	0	#VALUE!
5/19/2002	80.13700331	0	0	0	0.204201016	0	0	0.204201016	0	#VALUE!
5/20/2002	69.29221139	0			0.408402032		0	0.408402032	0	L
5/21/2002	165.930746	0			0		0	0	0	L
5/22/2002	195.3221778	0			0		0	0	0	L
5/23/2002	173.1685875	0			0		0	0	0	L
5/24/2002	102.1330811	0.249105076			0		0.249105076	0	0	M
5/25/2002	119.541307	0.124552538	0	0	0	0	0.124552538	0	0	#VALUE!
5/26/2002	119.541307	0.124552538	0	0	0	0	0.124552538	0	0	#VALUE!
5/27/2002	119.541307	0.124552538	0	0	0	0	0.124552538	0	0	#VALUE!
5/28/2002	136.949533	0			0		0	0	0	M
5/29/2002	166.334715	0.322980029			0		0.322980029	0	0	H
5/30/2002	246.7532468	0			0		0	0	0	M
5/31/2002	159.2632719	0			0		0	0	0	H
6/1/2002	102.6715323	0.121262612	0	0	0.181893918	0	0.121262612	0.181893918	0	#VALUE!
